"Client Information","Product Information","Total Amount"
"CL432100020001","SGXFUNK20100910","1"
"CL432100030001","CMEFUN120100910","3"
"CL123400020001","SGXFUNK20100910","1"
"CL123400020001","SGXFUNK20100910","2"
"CL123400020001","SGXFUNK20100910","3"
"CL123400020001","SGXFUNK20100910","4"
"CL123400020001","SGXFUNK20100910","5"
"CL123400020001","SGXFUNK20100910","6"
"CL123400020001","SGXFUNK20100910","7"
"CL123400020001","SGXFUNK20100910","8"
"CL123400020001","SGXFUNK20100910","9"
"CL123400020001","SGXFUNK20100910","10"
"CL123400030001","CMEFUNK.20100910","1"
"CL123400030001","CMEFUNK.20100910","2"
"CL123400030001","CMEFUNK.20100910","3"
"CL123400030001","CMEFUNK.20100910","4"
"CL123400030001","CMEFUNK.20100910","5"
"CL123400030001","CMEFUNK.20100910","6"
"CL123400030001","CMEFUNK.20100910","7"
"CL123400030001","CMEFUNK.20100910","8"
"CL123400030001","CMEFUNK.20100910","10"
"CL123400030001","CMEFUNK.20100910","12"
"CL123400030001","CMEFUNK.20100910","9"
"CL123400030001","CMEFUN120100910","1"
"CL123400030001","CMEFUN120100910","2"
"CL123400030001","CMEFUN120100910","3"
"CL123400030001","CMEFUN120100910","4"
"CL123400030001","CMEFUN120100910","5"
"CL123400030001","CMEFUN120100910","6"
"CL123400030001","CMEFUN120100910","7"
"CL123400030001","CMEFUN120100910","8"
"CL123400030001","CMEFUN120100910","9"
"CL123400030001","CMEFUN120100910","10"
"CL432100030001","CMEFUN120100910","4"
"CL432100030001","CMEFUN120100910","5"
"CL432100030001","CMEFUN120100910","6"
